"filename", "language", "TypeScript JSX", "TypeScript", "Docker", "PostCSS", "JSON", "YAML", "JSON with Comments", "JavaScript", "XML", "Markdown", "Python", "pip requirements", "Prisma", "MS SQL", "comment", "blank", "total"
"/home/chennian/myProjects/Chemistry/frontend/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 14, 37
"/home/chennian/myProjects/Chemistry/frontend/app/dashboard/aboutourselves/page.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/home/chennian/myProjects/Chemistry/frontend/app/dashboard/askai/page.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/home/chennian/myProjects/Chemistry/frontend/app/dashboard/dataup/page.tsx", "TypeScript JSX", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/chennian/myProjects/Chemistry/frontend/app/dashboard/feedback/page.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/home/chennian/myProjects/Chemistry/frontend/app/dashboard/layout.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"/home/chennian/myProjects/Chemistry/frontend/app/dashboard/loading.tsx", "TypeScript JSX", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"/home/chennian/myProjects/Chemistry/frontend/app/dashboard/page.tsx", "TypeScript JSX", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"/home/chennian/myProjects/Chemistry/frontend/app/dashboard/reactdic/[id]/page.tsx", "TypeScript JSX", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 79
"/home/chennian/myProjects/Chemistry/frontend/app/dashboard/reactdic/page.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"/home/chennian/myProjects/Chemistry/frontend/app/dashboard/retrosynthesisanalysis/page.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/chennian/myProjects/Chemistry/frontend/app/dashboard/review/[id]/page.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 12
"/home/chennian/myProjects/Chemistry/frontend/app/dashboard/review/page.tsx", "TypeScript JSX", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"/home/chennian/myProjects/Chemistry/frontend/app/dashboard/settings/page.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
