journal_name
Journal of the American Chemical Society
Angewandte Chemie International Edition
Accounts of Chemical Research
Science
Chemical Society Reviews
Nature Chemistry
Nature Communications
ACS Catalysis
Chemical Reviews
Organic Letters
Nature
Journal of Molecular Structure
Nature Catalysis
Advanced Materials
Chemical Science
European Journal of Medicinal Chemistry
Organic Chemistry Frontiers
Molecules
Nature Synthesis
Scientific Reports
Chem
Coordination Chemistry Reviews
RSC Advances
Science China Chemistry
Heliyon
International Journal of Molecular Sciences
The Journal of Organic Chemistry
ACS Omega
Advanced Functional Materials
Chemical Communications
Chinese Chemical Letters
European Journal of Organic Chemistry
Green Chemistry
Nature Reviews Chemistry
(无期刊名)
Antioxidants
Chemical Engineering Journal
ChemistrySelect
JACS Au
Journal of the Iranian Chemical Society
Progress in Polymer Science
Results in Chemistry
Science Advances
ACS Nano
Advanced Science
Applied Catalysis B: Environmental
Chemistry - A European Journal
Institutional Repositories DataBase (IRDB)
International Journal of Biological Macromolecules
Journal of Colloid and Interface Science
Journal of Medicinal Chemistry
Medicinal Chemistry Research
Natural Product Reports
Nutrients
Pharmaceuticals
"Portuguese National Funding Agency for Science, Research and Technology (RCAAP Project by FCT)"
Processes
Russian Journal of General Chemistry
Advanced Energy Materials
Advanced Healthcare Materials
Arabian Journal of Chemistry
Bioconjugate Chemistry
Bioorganic Chemistry
British Journal of Pharmacology
Chemical Papers
ChemistryOpen
Food Chemistry
Foods
Frontiers in Nutrition
Frontiers in Pharmacology
Journal of Molecular Liquids
Journal of Water Process Engineering
Nano Letters
Nano-Structures & Nano-Objects
Organic & Biomolecular Chemistry
RSC Medicinal Chemistry
ACS Applied Materials & Interfaces
ACS Macro Letters
Advanced Materials Interfaces
Advanced Synthesis & Catalysis
Angewandte Chemie
Applied Organometallic Chemistry
Asian Journal of Organic Chemistry
Bulletin of the Chemical Society of Japan
CCS Chemistry
Carbohydrate Polymers
Catalysts
ChemMedChem
Chemical Engineering Science
Chemistry & Biodiversity
Chinese Journal of Chemistry
Energy & Environmental Science
European Polymer Journal
Figshare
Food & Function
Future Medicinal Chemistry
IOP Conference Series Earth and Environmental Science
Inorganic Chemistry
Inorganic Chemistry Communications
International Journal of Modern Physics B
Journal of Applied Pharmaceutical Science
Journal of Cleaner Production
Journal of Heterocyclic Chemistry
Journal of Materials Science
Journal of Pharmacy & Pharmacognosy Research
Journal of Saudi Chemical Society
LWT
Langmuir
Metals
Nature Chemical Biology
Nature Protocols
