id,display_name,description,field,domain,works_count,cited_by_count
subfields/3004,Pharmacology,branch of biology concerning drugs,"Pharmacology, Toxicology and Pharmaceutics",Life Sciences,666110,5551173
subfields/2716,Genetics,"science of genes, heredity, and variation in living organisms",Medicine,Health Sciences,661945,9640868
subfields/2711,Emergency Medicine,medical specialty concerned with care for patients who require immediate medical attention,Medicine,Health Sciences,657877,4986811
subfields/2311,Industrial and Manufacturing Engineering,"discipline of engineering dealing with various manufacturing sciences and practices including the research, design and development of systems, processes, machines, tools, and equipment",Environmental Science,Physical Sciences,656968,4806114
subfields/1711,Signal Processing,models and analyzes data representations of physical events,Computer Science,Physical Sciences,629387,6592768
subfields/3616,Speech and Hearing,"interdisciplinary field focused on the study of speech, language, and hearing processes and disorders, encompassing assessment, diagnosis, and treatment of communication and auditory impairments",Health Professions,Health Sciences,601182,2692973
subfields/1206,Conservation,"practice of protecting the natural environment by individuals, organizations and governments",Arts and Humanities,Social Sciences,596060,724834
subfields/2732,Orthopedics and Sports Medicine,branch of medicine dealing with the correction of deformities of bones or muscles,Medicine,Health Sciences,574980,7744439
subfields/1104,Aquatic Science,multidisciplinary study of freshwater and marine ecosystems,Agricultural and Biological Sciences,Life Sciences,563081,4042928
subfields/3605,Health Information Management,academic discipline,Health Professions,Health Sciences,557719,2074785
subfields/3604,Emergency Medical Services,type of emergency service dedicated to providing out-of-hospital acute medical care and transport to definitive care,Health Professions,Health Sciences,555803,3528879
subfields/2727,Nephrology,medical specialty that concerns itself with the kidneys,Medicine,Health Sciences,552204,8209806
subfields/3310,Linguistics and Language,book by Julia S. Falk,Social Sciences,Social Sciences,544709,2503583
subfields/3612,"Physical Therapy, Sports Therapy and Rehabilitation",health profession that aims to address the illnesses or injuries that limit a person's abilities to function in everyday lives,Health Professions,Health Sciences,533594,2741032
subfields/1305,Biotechnology,use of living systems and organisms to develop or make useful products,"Biochemistry, Genetics and Molecular Biology",Life Sciences,532586,5835641
subfields/2721,Hepatology,medical specialty,Medicine,Health Sciences,527333,8592104
subfields/1602,Analytical Chemistry,"study of the separation, identification, and quantification of the chemical components of materials",Chemistry,Physical Sciences,519996,6155236
subfields/1907,Geology,"study of the composition, structure, physical properties, and history of Earth's components, and the processes by which they are shaped",Earth and Planetary Sciences,Physical Sciences,506175,1963708
subfields/1906,Geochemistry and Petrology,"scientific study of the chemical composition of the Earth and other planets, focusing on the processes and conditions that influence the formation, structure, and composition of rocks and minerals",Earth and Planetary Sciences,Physical Sciences,488538,3329379
subfields/2405,Parasitology,"branch of biology that studies parasites, their hosts, and the relationship between them",Immunology and Microbiology,Life Sciences,485794,5561386
subfields/1904,Earth-Surface Processes,term for the surface of the Earth,Earth and Planetary Sciences,Physical Sciences,470190,4049489
subfields/3404,Small Animals,kingdom of multicellular eukaryotic organisms,Veterinary,Health Sciences,467335,4125668
