id,display_name,description,field,domain,works_count,cited_by_count
subfields/2910,"Issues, ethics and legal aspects","branch of philosophy that systematizes, defends, and recommends concepts of right and wrong conduct",Nursing,Health Sciences,166451,447849
subfields/2724,Internal Medicine,"medical specialty dealing with the prevention, diagnosis, and treatment of  diseases of internal organs",Medicine,Health Sciences,164387,1912339
subfields/1603,Electrochemistry,branch of chemistry,Chemistry,Physical Sciences,160869,3229130
subfields/2806,Developmental Neuroscience,scientific study of the nervous system,Neuroscience,Life Sciences,157330,2942360
subfields/2718,Health Informatics,"discipline at the intersection of information science, computer science, and health care",Medicine,Health Sciences,142468,937725
subfields/3005,Toxicology,"scientific study of the harmful effects that chemicals, substances, or situations can have on living organisms and the environment","Pharmacology, Toxicology and Pharmaceutics",Life Sciences,138589,1661779
subfields/1403,Business and International Management,administration of a profit-oriented enterprise,"Business, Management and Accounting",Social Sciences,138258,620334
subfields/3206,Neuropsychology and Physiological Psychology,study of the brain related to specific psychological processes and behaviors,Psychology,Social Sciences,135417,799976
subfields/3603,Complementary and Manual Therapy,therapeutic practice not currently considered an integral part of conventional allopathic medical practice,Health Professions,Health Sciences,134849,906592
subfields/1410,Industrial relations,"study of the relationship between employers, employees and others","Business, Management and Accounting",Social Sciences,130455,49436
subfields/2100,General Energy,Czech company,Energy,Physical Sciences,123367,299340
subfields/2747,Transplantation,moving of an organ or tissue from one body or body region to another,Medicine,Health Sciences,112942,1438658
subfields/2802,Behavioral Neuroscience,field of scientific study,Neuroscience,Life Sciences,110819,3289017
subfields/3607,Medical Laboratory Technology,equipment and software used in medical laboratories,Health Professions,Health Sciences,109958,244593
subfields/1912,Space and Planetary Science,science of astronomical objects apparently in orbit around one or more stellar objects within a few light years,Earth and Planetary Sciences,Physical Sciences,108575,214382
subfields/1409,"Tourism, Leisure and Hospitality Management",study of the hospitality industry.,"Business, Management and Accounting",Social Sciences,104349,450539
subfields/1302,Aging,biological processes in a human body coupled to increasing age,"Biochemistry, Genetics and Molecular Biology",Life Sciences,102273,2104074
subfields/1309,Developmental Biology,explores the processes by which individual organisms grow and develop (ontogeny),"Biochemistry, Genetics and Molecular Biology",Life Sciences,100489,1171756
subfields/2402,Applied Microbiology and Biotechnology,study of microscopic organisms,Immunology and Microbiology,Life Sciences,93483,902567
subfields/3319,Life-span and Life-course Studies,duration of life for an organism,Social Sciences,Social Sciences,86978,88715
subfields/1508,Process Chemistry and Technology,arm of pharmaceutical chemistry concerned with the development and optimization of a synthetic scheme and pilot plant procedure to manufacture compounds for the drug development phase,Chemical Engineering,Physical Sciences,82843,1368934
subfields/2714,Family Practice,medical specialty,Medicine,Health Sciences,82827,947187
subfields/1800,General Decision Sciences,branch of applied probability theory,Decision Sciences,Social Sciences,74658,2054544
