"filename", "language", "TypeScript", "JSON with Comments", "YAML", "JavaScript", "JSON", "TypeScript JSX", "XML", "PostCSS", "Docker", "Markdown", "comment", "blank", "total"
"/home/chennian/myProjects/Chemistry/frontend/components/ui/card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 10, 93
"/home/chennian/myProjects/Chemistry/frontend/components/ui/chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 319, 0, 0, 0, 0, 2, 37, 358
"/home/chennian/myProjects/Chemistry/frontend/components/ui/checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 5, 33
"/home/chennian/myProjects/Chemistry/frontend/components/ui/collapsible.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 6, 34
"/home/chennian/myProjects/Chemistry/frontend/components/ui/combobox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 290, 0, 0, 0, 0, 0, 21, 311
"/home/chennian/myProjects/Chemistry/frontend/components/ui/command.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 13, 185
"/home/chennian/myProjects/Chemistry/frontend/components/ui/dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 14, 144
"/home/chennian/myProjects/Chemistry/frontend/components/ui/drawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 14, 136
"/home/chennian/myProjects/Chemistry/frontend/components/ui/dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 239, 0, 0, 0, 0, 0, 19, 258
"/home/chennian/myProjects/Chemistry/frontend/components/ui/field.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 228, 0, 0, 0, 0, 0, 21, 249
"/home/chennian/myProjects/Chemistry/frontend/components/ui/hover-card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 7, 45
"/home/chennian/myProjects/Chemistry/frontend/components/ui/input-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 3, 16, 171
"/home/chennian/myProjects/Chemistry/frontend/components/ui/input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"/home/chennian/myProjects/Chemistry/frontend/components/ui/label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"/home/chennian/myProjects/Chemistry/frontend/components/ui/popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 11, 90
"/home/chennian/myProjects/Chemistry/frontend/components/ui/rich-text-editor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 106, 0, 0, 0, 0, 5, 10, 121
"/home/chennian/myProjects/Chemistry/frontend/components/ui/select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 177, 0, 0, 0, 0, 0, 14, 191
"/home/chennian/myProjects/Chemistry/frontend/components/ui/separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 5, 29
"/home/chennian/myProjects/Chemistry/frontend/components/ui/sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 14, 144
"/home/chennian/myProjects/Chemistry/frontend/components/ui/sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 660, 0, 0, 0, 0, 12, 55, 727
"/home/chennian/myProjects/Chemistry/frontend/components/ui/skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"/home/chennian/myProjects/Chemistry/frontend/components/ui/sonner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 5, 41
"/home/chennian/myProjects/Chemistry/frontend/components/ui/table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 0, 12, 117
"/home/chennian/myProjects/Chemistry/frontend/components/ui/tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 9, 92
"/home/chennian/myProjects/Chemistry/frontend/components/ui/textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"/home/chennian/myProjects/Chemistry/frontend/components/ui/toggle-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 0, 8, 84
"/home/chennian/myProjects/Chemistry/frontend/components/ui/toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 6, 48
"/home/chennian/myProjects/Chemistry/frontend/components/ui/tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 8, 62
"/home/chennian/myProjects/Chemistry/frontend/eslint.config.mjs", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 2, 3, 19
"/home/chennian/myProjects/Chemistry/frontend/hooks/use-dataup-action.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 67, 0, 0, 0, 0, 17, 9, 93
"/home/chennian/myProjects/Chemistry/frontend/hooks/use-mobile.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/home/chennian/myProjects/Chemistry/frontend/lib/api.ts", "TypeScript", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 18, 134
"/home/chennian/myProjects/Chemistry/frontend/lib/auth-client.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 10
"/home/chennian/myProjects/Chemistry/frontend/lib/rdkit.ts", "TypeScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 69
"/home/chennian/myProjects/Chemistry/frontend/lib/time.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 9
"/home/chennian/myProjects/Chemistry/frontend/lib/utils.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/chennian/myProjects/Chemistry/frontend/next.config.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 23
"/home/chennian/myProjects/Chemistry/frontend/package.json", "JSON", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 1, 75
"/home/chennian/myProjects/Chemistry/frontend/pnpm-lock.yaml", "YAML", 0, 0, 7725, 0, 0, 0, 0, 0, 0, 0, 0, 1686, 9411
"/home/chennian/myProjects/Chemistry/frontend/pnpm-workspace.yaml", "YAML", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/chennian/myProjects/Chemistry/frontend/postcss.config.mjs", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/home/chennian/myProjects/Chemistry/frontend/public/file.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/chennian/myProjects/Chemistry/frontend/public/globe.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/chennian/myProjects/Chemistry/frontend/public/next.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/chennian/myProjects/Chemistry/frontend/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/chennian/myProjects/Chemistry/frontend/public/window.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/DataUp/DataUp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 369, 0, 0, 0, 0, 8, 27, 404
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/DataUp/ReactionDiscriptions.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 272, 0, 0, 0, 0, 19, 23, 314
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/DataUp/ReactionMetaData.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 3, 9, 106
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/DataUp/ReactionPredictDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 303, 0, 0, 0, 0, 8, 28, 339
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/DataUp/ReviewSheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 2, 7, 95
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/DataUp/SMARTSModuleData.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 446, 0, 0, 0, 0, 13, 29, 488
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/ReactDic/Detail/Header.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 2, 11, 143
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/ReactDic/Detail/MainContent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 3, 7, 93
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/ReactDic/Detail/ReactionPredict.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 280, 0, 0, 0, 0, 8, 34, 322
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/ReactDic/MolSearch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 3, 11, 106
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/ReactDic/ReactCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 10, 11, 119
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/ReactDic/ReactDic.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 8, 11, 177
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/ReactDic/keywordSearch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 1, 9, 100
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/Settings/settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 9, 21, 146
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/layout/navbar/navbar-Dataup.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 2, 9, 72
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/layout/navbar/navbar-ThemeSwitchButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 6, 34
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/layout/navbar/navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 1, 5, 48
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/layout/navbar/theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 3, 15
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/layout/sidebar/routes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 1, 2, 59
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/layout/sidebar/sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 2, 32
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/layout/sidebar/sidebarApplication.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 6, 58
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/layout/sidebar/sidebarHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 4, 32
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/layout/sidebar/sidebarHistory.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 1, 11, 116
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/layout/sidebar/sidebarSecondary.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 9, 46
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/layout/sidebar/sidebarUser.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 1, 8, 129
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/review/reviewDetail.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 502, 0, 0, 0, 0, 20, 28, 550
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/review/reviewTable/reviewColumns.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 370, 0, 0, 0, 0, 26, 18, 414
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/review/reviewTable/reviewConfig.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 1, 7, 56
"/home/chennian/myProjects/Chemistry/frontend/src/dashboard/review/reviewTable/reviewTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 364, 0, 0, 0, 0, 26, 16, 406
"/home/chennian/myProjects/Chemistry/frontend/src/loading/loading_DNA.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 233, 0, 0, 0, 0, 0, 4, 237
"/home/chennian/myProjects/Chemistry/frontend/src/loading/loading_hamster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 300, 0, 0, 0, 0, 0, 4, 304
"/home/chennian/myProjects/Chemistry/frontend/src/loading/loading_hourglass.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 443, 0, 0, 0, 0, 0, 4, 447
"/home/chennian/myProjects/Chemistry/frontend/src/login_and_signup/signin-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 7, 145
